id,date,meter,usage,notes,conedtesla
23,2024-12-03,990186.0,0.0,,4.2
24,2024-12-04,990243.0,57.0,,1.2
25,2024-12-05,990285.0,42.0,Very cold,
26,2024-12-06,990329.0,44.0,Very cold 35-29,
27,2024-12-07,990411.0,82.0,,4.1
28,2024-12-08,990482.0,71.0,,
29,2024-12-09,990546.0,64.0,40-50 degree,4.5
30,2024-12-10,990581.0,35.0,"Warm day, no ac on 2nd floor",
31,2024-12-11,990628.0,47.0,60 degree with rain,
32,2024-12-12,990696.0,68.0,,3.9
33,2024-12-13,990744.0,48.0,28 degree,
34,2024-12-14,990801.0,57.0,"Very cold, basement ac on",
35,2024-12-15,990897.0,96.0,,4.2
39,2024-12-16,990950.0,53.0,50 degree rainy,
40,2024-12-17,990989.0,39.0,50 degree,
41,2024-12-18,991054.0,65.0,50 degree,4.4
42,2024-12-19,991077.0,23.0,"40 degrees, chill",
43,2024-12-20,991113.0,36.0,37 degree. maybe first snow this year,
45,2024-12-21,991219.0,106.0," 	tesla charged 20 degree at 8pm, first snow coming",3.45
46,2024-12-22,991311.0,92.0,37 degree,
49,2024-12-23,991458.0,147.0,"door ac on overnight, 15 degree very cold",4.07
50,2024-12-24,991538.0,80.0,25 degrees,
51,2024-12-25,991602.0,64.0,25 degree,0.0
52,2024-12-26,991665.0,63.0,30 degree,0.0
53,2024-12-27,991765.0,100.0,30 degree,4.1
54,2024-12-28,991815.0,50.0,30 degree,0.0
55,2024-12-29,991895.0,80.0,warm day,2.25
56,2024-12-30,991935.0,40.0,50 degree ,0.0
57,2024-12-31,991975.0,40.0,"50 degree, warm day",2.97
